Dataset,Algorithm,Classifier,Centroids,Accuracy,Precision,Recall,F1,n_clusters
RacketSports,Local DISSFCM,Majority Vote,26,0.47540983606557374,0.41566484517304186,0.47540983606557374,0.4161675073560319,8,10
RacketSports,Local DISSFCM,Min Move,20,0.5901639344262295,0.6166546568185913,0.5901639344262295,0.5809546436773807,8,10
RacketSports,Local DISSFCM,Turn Vote,46,0.5409836065573771,0.5587431693989071,0.5409836065573771,0.5198451444918375,12,0.01
RacketSports,Local DISSFCM,Majority Vote,46,0.5409836065573771,0.6208257437765634,0.5409836065573771,0.5341196917335128,12,0.01
RacketSports,Local DISSFCM,Min Move,46,0.5901639344262295,0.6531817380574652,0.5901639344262295,0.5702185792349727,12,0.01
RacketSports,Local DISSFCM,Turn Vote,50,0.5737704918032787,0.6086956521739131,0.5737704918032787,0.5522500803600129,12,0.1
RacketSports,Local DISSFCM,Majority Vote,50,0.5901639344262295,0.6688708270193322,0.5901639344262295,0.5658912994164054,12,0.1
RacketSports,Local DISSFCM,Min Move,18,0.5901639344262295,0.5757337859149766,0.5901639344262295,0.5759973962348185,12,0.1
RacketSports,Local DISSFCM,Turn Vote,53,0.7377049180327869,0.8182727305195965,0.7377049180327869,0.7166963515647266,12,1
RacketSports,Local DISSFCM,Majority Vote,53,0.6885245901639344,0.7502732240437159,0.6885245901639344,0.6627720499262378,12,1
RacketSports,Local DISSFCM,Min Move,12,0.5901639344262295,0.6779007877368532,0.5901639344262295,0.5665780271373327,12,1
RacketSports,Local DISSFCM,Turn Vote,26,0.639344262295082,0.7057973745367753,0.639344262295082,0.6076940106697769,12,10
RacketSports,Local DISSFCM,Majority Vote,26,0.6229508196721312,0.7179801876041028,0.6229508196721312,0.5815144197803304,12,10
RacketSports,Local DISSFCM,Min Move,19,0.6229508196721312,0.6162763466042154,0.6229508196721312,0.5961458922341065,12,10
RacketSports,Local IFCM,Turn Vote,4,0.5409836065573771,0.5438251366120219,0.5409836065573771,0.5104785924458056,4
RacketSports,Local IFCM,Majority Vote,4,0.5409836065573771,0.5438251366120219,0.5409836065573771,0.5104785924458056,4
RacketSports,Local IFCM,Min Move,4,0.6229508196721312,0.6280126545872879,0.6229508196721312,0.610633072060266,4
